rui 	 eat 	 dʒɛ kit̪on
grp 	 eat 	 wor t̪itor
ght 	 eat 	 wor titur
glb 	 eat 	 wor tinɡenator
ktg 	 eat 	 wor titor
dog 	 eat 	 kitoɾ, kim
mdh 	 eat 	 titur, tin
mku 	 eat 	 titur, tin
gni 	 eat 	 t̪it̪or, t̪in
lxg 	 eat 	 titor, t̪in
get 	 eat 	 titor, tin
gut 	 eat 	 t̪ɪnβʌl
gja 	 eat 	 titur, tin
gbh 	 eat 	 t̪inˑudu
mal 	 eat 	 tindanor, tin
mbh 	 eat 	 t̪inˑu
mad 	 eat 	 titur, tin
gtd 	 eat 	 ole tindʒitule
gba 	 eat 	 titor, tinu
gkt 	 eat 	 tindʒetul
gok 	 eat 	 tindʒetul
psh 	 eat 	 tinɡetoɭ
pmd 	 eat 	 hor tindʒetoɭ
pkh 	 eat 	 hor tinɡetoɭ
gcj 	 eat 	 hor tindʒetoɭ
ggg 	 eat 	 or titur, tin
khu 	 eat 	 or titur, tin
bhe 	 eat 	 or tittur, tin
prg 	 eat 	 or tindʒəktun, tin
gka 	 eat 	 tituʃ, tindʒiona
gse 	 eat 	 tituɾ, t̪in
gra 	 eat 	 tintoɾ, t̪in
gki 	 eat 	 kit̪or, t̪i
gar 	 eat 	 tittur, tindʒena
gam 	 eat 	 titur, tɪndʒena
gwa 	 eat 	 tindʒitul, tindʒena
gch 	 eat 	 -----
gdh 	 eat 	 titur, tint
goa 	 eat 	 titur, tin
met 	 eat 	 titin, tintu
bhm 	 eat 	 t̪it̪oːr, t̪in
bhs 	 eat 	 t̪it̪oːn, t̪in
bhb 	 eat 	 t̪it̪ur, t̪inu
mso 	 eat 	 t̪it̪oɾ, t̪in
mlj 	 eat 	 t̪it̪uɾ, t̪in
mud 	 eat 	 t̪it̪uɾ, t̪it̪t̪in
rui 	 pestle 	 rokall
grp 	 pestle 	 uskal
ght 	 pestle 	 warola
glb 	 pestle 	 uskal
ktg 	 pestle 	 usməl
dog 	 pestle 	 bʌt̪a
mdh 	 pestle 	 bʌta
mku 	 pestle 	 usmʌl
gni 	 pestle 	 rokʌl
lxg 	 pestle 	 rokʌl
get 	 pestle 	 usmal
gut 	 pestle 	 ɾokʌl
gja 	 pestle 	 dʒəta
gbh 	 pestle 	 dʒot̪ˑa, bʰodu
mal 	 pestle 	 kuti
mbh 	 pestle 	 usmali
mad 	 pestle 	 usaspal
gtd 	 pestle 	 tʌŋi
gba 	 pestle 	 bʌndʌ, usmal
gkt 	 pestle 	 paɽta, lodi
gok 	 pestle 	 lotːha, usmʌl
psh 	 pestle 	 lodi
pmd 	 pestle 	 pata
pkh 	 pestle 	 loɖa
gcj 	 pestle 	 lodha
ggg 	 pestle 	 toŋɡi
khu 	 pestle 	 bata
bhe 	 pestle 	 bəʈa
prg 	 pestle 	 uskal
gka 	 pestle 	 warota, paʈa
gse 	 pestle 	 paʈa
gra 	 pestle 	 dʒaki
gki 	 pestle 	 rokəɭ
gar 	 pestle 	 musəl
gam 	 pestle 	 uata
gwa 	 pestle 	 huskal
gch 	 pestle 	 uskal
gdh 	 pestle 	 bata
goa 	 pestle 	 usmal, ukʌɭ
met 	 pestle 	 usmal
bhm 	 pestle 	 -----
bhs 	 pestle 	 -----
bhb 	 pestle 	 kʌl
mso 	 pestle 	 loɖ
mlj 	 pestle 	 loɾha
mud 	 pestle 	 loɖa
rui 	 eggplant 	 sapaŋ
grp 	 eggplant 	 sapaŋ
ght 	 eggplant 	 sapaŋ
glb 	 eggplant 	 sapaŋ
ktg 	 eggplant 	 hapa
dog 	 eggplant 	 sapaŋ
mdh 	 eggplant 	 hapoŋ
mku 	 eggplant 	 hapa
gni 	 eggplant 	 saːpʌ
lxg 	 eggplant 	 sapʌ
get 	 eggplant 	 hapa
gut 	 eggplant 	 saːpʌŋ
gja 	 eggplant 	 hapa
gbh 	 eggplant 	 u̯aŋ(kai̯a)
mal 	 eggplant 	 apaŋ
mbh 	 eggplant 	 ʌpˑa(kai̯a)
mad 	 eggplant 	 apːa
gtd 	 eggplant 	 bhata
gba 	 eggplant 	 (h)apˑa
gkt 	 eggplant 	 bʰəta
gok 	 eggplant 	 bʌŋɡa
psh 	 eggplant 	 bhaʈa
pmd 	 eggplant 	 bhaɽta
pkh 	 eggplant 	 bhaʈa
gcj 	 eggplant 	 sapha
ggg 	 eggplant 	 baʈaŋ
khu 	 eggplant 	 baʈa
bhe 	 eggplant 	 baʈai
prg 	 eggplant 	 bʰata
gka 	 eggplant 	 sapaŋ
gse 	 eggplant 	 sapaʔ
gra 	 eggplant 	 sapaŋ
gki 	 eggplant 	 sapaŋ
gar 	 eggplant 	 sapaŋ, wəŋɡey
gam 	 eggplant 	 sapaŋ
gwa 	 eggplant 	 sʌn(k)
gch 	 eggplant 	 sapa
gdh 	 eggplant 	 bʰata
