Language	Concept	IPA	ASJP	SCA
rui	eat	dʒɛkit̪on	dZEkiton	TSEKITUN
grp	eat	wort̪itor	wortitor	WURTITUR
ght	eat	wortitur	wortitur	WURTITYR
glb	eat	wortinɡenator	wortingenator	WURTINKENATUR
ktg	eat	wortitor	wortitor	WURTITUR
dog	eat	kitoɾ,kim	kitor, kim	KITUR, KIM
mdh	eat	titur,tin	titur, tin	TITYR, TIN
mku	eat	titur,tin	titur, tin	TITYR, TIN
gni	eat	t̪it̪or,t̪in	titor, tin	TITUR, TIN
lxg	eat	titor,t̪in	titor, tin	TITUR, TIN
get	eat	titor,tin	titor, tin	TITUR, TIN
gut	eat	t̪ɪnβʌl	tinbol	TINBEL
gja	eat	titur,tin	titur, tin	TITYR, TIN
gbh	eat	t̪inˑudu	tinudu	TINYTY
mal	eat	tindanor,tin	tindanor, tin	TINTANUR, TIN
mbh	eat	t̪inˑu	tinu	TINY
mad	eat	titur,tin	titur, tin	TITYR, TIN
gtd	eat	oletindʒitule	oletindZitule	ULETINTSITYLE
gba	eat	titor,tinu	titor, tinu	TITUR, TINY
gkt	eat	tindʒetul	tindZetul	TINTSETYL
gok	eat	tindʒetul	tindZetul	TINTSETYL
psh	eat	tinɡetoɭ	tingetoL	TINKETUL
pmd	eat	hortindʒetoɭ	hortindZetoL	HURTINTSETUL
pkh	eat	hortinɡetoɭ	hortingetoL	HURTINKETUL
gcj	eat	hortindʒetoɭ	hortindZetoL	HURTINTSETUL
ggg	eat	ortitur,tin	ortitur, tin	URTITYR, TIN
khu	eat	ortitur,tin	ortitur, tin	URTITYR, TIN
bhe	eat	ortittur,tin	ortittur, tin	URTITYR, TIN
prg	eat	ortindʒəktun,tin	ortindZ3ktun, tin	URTINTSEKTYN, TIN
gka	eat	tituʃ,tindʒiona	tituS, tindZiona	TITYS, TINTSINA
gse	eat	tituɾ,t̪in	titur, tin	TITYR, TIN
gra	eat	tintoɾ,t̪in	tintor, tin	TINTUR, TIN
gki	eat	kit̪or,t̪i	kitor, ti	KITUR, TI
gar	eat	tittur,tindʒena	tittur, tindZena	TITYR, TINTSENA
gam	eat	titur,tɪndʒena	titur, tindZena	TITYR, TINTSENA
gwa	eat	tindʒitul,tindʒena	tindZitul, tindZena	TINTSITYL, TINTSENA
gch	eat	-----	-----	-----
gdh	eat	titur,tint	titur, tint	TITYR, TINT
goa	eat	titur,tin	titur, tin	TITYR, TIN
met	eat	titin,tintu	titin, tintu	TITIN, TINTY
bhm	eat	t̪it̪oːr,t̪in	titor, tin	TITUR, TIN
bhs	eat	t̪it̪oːn,t̪in	titon, tin	TITUN, TIN
bhb	eat	t̪it̪ur,t̪inu	titur, tinu	TITYR, TINY
mso	eat	t̪it̪oɾ,t̪in	titor, tin	TITUR, TIN
mlj	eat	t̪it̪uɾ,t̪in	titur, tin	TITYR, TIN
mud	eat	t̪it̪uɾ,t̪it̪t̪in	titur, tittin	TITYR, TITIN
rui	pestle	rokall	rokall	RUKAL
grp	pestle	uskal	uskal	YSKAL
ght	pestle	warola	warola	WARULA
glb	pestle	uskal	uskal	YSKAL
ktg	pestle	usməl	usm3l	YSMEL
dog	pestle	bʌt̪a	bota	PETA
mdh	pestle	bʌta	bota	PETA
mku	pestle	usmʌl	usmol	YSMEL
gni	pestle	rokʌl	rokol	RUKEL
lxg	pestle	rokʌl	rokol	RUKEL
get	pestle	usmal	usmal	YSMAL
gut	pestle	ɾokʌl	rokol	RUKEL
gja	pestle	dʒəta	dZ3ta	TSETA
gbh	pestle	dʒot̪ˑa,bʰodu	dZota, bh~odu	TSUTA, PUTY
mal	pestle	kuti	kuti	KYTI
mbh	pestle	usmali	usmali	YSMALI
mad	pestle	usaspal	usaspal	YSASPAL
gtd	pestle	tʌŋi	toNi	TENI
gba	pestle	bʌndʌ,usmal	bondo, usmal	PENTE, YSMAL
gkt	pestle	paɽta,lodi	parta, lodi	PARTA, LUTI
gok	pestle	lotːha,usmʌl	lotha, usmol	LUTHA, YSMEL
psh	pestle	lodi	lodi	LUTI
pmd	pestle	pata	pata	PATA
pkh	pestle	loɖa	loda	LUTA
gcj	pestle	lodha	lodha	LUTHA
ggg	pestle	toŋɡi	toNgi	TUNKI
khu	pestle	bata	bata	PATA
bhe	pestle	bəʈa	b3ta	PETA
prg	pestle	uskal	uskal	YSKAL
gka	pestle	warota,paʈa	warota, pata	WARUTA, PATA
gse	pestle	paʈa	pata	PATA
gra	pestle	dʒaki	dZaki	TSAKI
gki	pestle	rokəɭ	rok3L	RUKEL
gar	pestle	musəl	mus3l	MYSEL
gam	pestle	uata	uata	YTA
gwa	pestle	huskal	huskal	HYSKAL
gch	pestle	uskal	uskal	YSKAL
gdh	pestle	bata	bata	PATA
goa	pestle	usmal,ukʌɭ	usmal, ukoL	YSMAL, YKEL
