Language	Concept	IPA	Cognate Class	ASJP	SCA
pkh	above	para	1	para	PARA
ght	above	paro	1	paro	PARU
glb	above	paro	1	paro	PARU
gtd	above	paro	1	paro	PARU
gkt	above	paro	1	paro	PARU
gcj	above	paro	1	paro	PARU
mud	above	paro	1	paro	PARU
psh	above	pəra	1	p3ra	PERA
ggg	above	pəro	1	p3ro	PERU
khu	above	pəro	1	p3ro	PERU
bhe	above	pəro	1	p3ro	PERU
prg	above	pəro	1	p3ro	PERU
gar	above	pəro	1	p3ro	PERU
gam	above	pəro	1	p3ro	PERU
gwa	above	pəro	1	p3ro	PERU
gch	above	pəro	1	p3ro	PERU
gdh	above	pəro	1	p3ro	PERU
rui	above	pʰəro	1	ph~3ro	PERU
gki	above	phʌro	1	phoro	PHERU
mbh	above	poɡenu	3	pogenu	PUKENY
met	above	poɣʌn	3	poxon	PUGEN
mso	above	poho	1	poho	PUHU
mad	above	pohʌn	1	pohon	PUHEN
gni	above	porːo	1	poro	PURU
lxg	above	porːo	1	poro	PURU
gut	above	porːo	1	poro	PURU
ktg	above	poro	1	poro	PURU
dog	above	poro	1	poro	PURU
mku	above	poro	1	poro	PURU
get	above	poro	1	poro	PURU
gja	above	poro	1	poro	PURU
gbh	above	poro	1	poro	PURU
gba	above	poro	1	poro	PURU
gra	above	poro	1	poro	PURU
goa	above	poro	1	poro	PURU
bhm	above	poro	1	poro	PURU
bhs	above	poro	1	poro	PURU
bhb	above	poro	1	poro	PURU
grp	above	puro	1	puro	PYRU
gok	above	puro	1	puro	PYRU
gse	above	pʋro	1	pwro	PWRU
mdh	above	pʌro	1	poro	PERU
gka	above	pʌro	1	poro	PERU
mal	above	pʌrʌnu	1	poronu	PERENY
mlj	above	pʌɾo	1	poro	PERU
pmd	above	utʃo	2	utSo	YTSU
ggg	all	-----	?	-----	-----
gch	all	-----	?	-----	-----
gka	all	atʃoɖe	1	atSode	ATSUTE
mdh	all	atʃokas	1	atSokas	ATSUKAS
gbh	all	bʰot̪iɡa	2	bh~otiga	PUTIKA
mbh	all	bʰot̪iɡa	2	bh~otiga	PUTIKA
bhm	all	dʒʌmːaj	3	dZomay	TSEMAJ
bhs	all	dʒʌmaːj	3	dZomay	TSEMAJ
bhb	all	dʒʌmaːj	3	dZomay	TSEMAJ
met	all	kʌt̪vm	4	kotvm	KETBM
get	all	kʌtʌm	4	kotom	KETEM
gba	all	kʌtʌm	4	kotom	KETEM
mad	all	kʌt̪ʌm	4	kotom	KETEM
gni	all	mat̪ːa	5	mata	MATA
rui	all	n̪ikaɭ	6	nikaL	NIKAL
gja	all	purai	7	purai	PYRA
grp	all	puro	7	puro	PYRU
glb	all	puro	7	puro	PYRU
gse	all	puɾo	7	puro	PYRU
gra	all	puɾo	7	puro	PYRU
gar	all	sarawa	8	sarawa	SARAWA
bhe	all	səb	8	s3b	SEP
gdh	all	səb	8	s3b	SEP
khu	all	səb(dʒinal)	8	s3bdZinal	SEPTSINAL
gwa	all	səbai	8	s3bai	SEPA
prg	all	səbbai	8	s3bbai	SEPA
gam	all	səbley	8	s3blei	SEPLE
mud	all	suboi̯	8	suboi	SYPU
mku	all	sʌb	8	sob	SEP
gtd	all	sʌb	8	sob	SEP
gok	all	sʌb	8	sob	SEP
psh	all	sʌb	8	sob	SEP
pmd	all	sʌb	8	sob	SEP
pkh	all	sʌb	8	sob	SEP
gcj	all	sʌb	8	sob	SEP
mlj	all	sʌb	8	sob	SEP
ght	all	sʌbe	8	sobe	SEPE
mal	all	sʌbi	8	sobi	SEPI
gut	all	sʌmd̪i	9	somdi	SEMTI
gki	all	sʌmd̪iɾe,atʃore	9	somdire, atSore	SEMTIRE, ATSURE
lxg	all	sʌmd̪o	9	somdo	SEMTU
dog	all	sʌɾβʌn	8	sorbon	SERBEN
mso	all	tʃukʰne	10	tSukh~ne	TSYKNE
ktg	all	voleŋ	11	voleN	BULEN
goa	all	ʌnt̪ur	12	ontur	ENTYR
gkt	all	wale(suɭa)	13	walesuLa	WALESYLA
mlj	ant	bʌri	1	bori	PERI
gwa	ant	ətte	2	3tte	ETE
get	ant	ɛte	2	Ete	ETE
bhm	ant	ɡoɖo	4	godo	KUTU
bhs	ant	ɡoɖo	4	godo	KUTU
bhb	ant	ɡoɖo	4	godo	KUTU
mud	ant	hʌɾiŋ	5	horiN	HERIN
gam	ant	kitkur	6	kitkur	KITKYR
mso	ant	owẽŋ	7	oweN	UWEN
gtd	ant	pate	8	pate	PATE
ggg	ant	pateyŋ	8	pateiN	PATEN
gka	ant	paʈe	8	pate	PATE
goa	ant	petːei̯	8	petei	PETE
mbh	ant	pet̪ˑe	8	pete	PETE
mad	ant	pet̪ˑe	8	pete	PETE
rui	ant	pet̪e	8	pete	PETE
gbh	ant	pet̪e	8	pete	PETE
gki	ant	pet̪eŋ	8	peteN	PETEN
met	ant	pet̪iŋ	8	petiN	PETIN
gkt	ant	pət̪e	8	p3te	PETE
gar	ant	pətiŋ	8	p3tiN	PETIN
gch	ant	pətte	8	p3tte	PETE
gdh	ant	pətte	8	p3tte	PETE
bhe	ant	pəttey	8	p3ttei	PETE
gni	ant	pɛɪ̃ːɛ	8	pEiE	PE
dog	ant	pɛt̪ːe	8	pEte	PETE
lxg	ant	pɛt̪ːɛ	8	pEtE	PETE
gut	ant	pɛt̪ːɛŋ	8	pEtEN	PETEN
gba	ant	pɛtˑe	8	pEte	PETE
gja	ant	pɛte	8	pEte	PETE
gra	ant	pɛt̪e	8	pEte	PETE
ktg	ant	pʌtaŋ	8	potaN	PETAN
glb	ant	pʌte	8	pote	PETE
mdh	ant	pʌte	8	pote	PETE
mku	ant	pʌte	8	pote	PETE
mal	ant	pʌte	8	pote	PETE
gok	ant	pʌte	8	pote	PETE
psh	ant	pʌte	8	pote	PETE
pkh	ant	pʌte	8	pote	PETE
gcj	ant	pʌt̪e	8	pote	PETE
ght	ant	pʌteŋ	8	poteN	PETEN
pmd	ant	pʌti	8	poti	PETI
grp	ant	pʌtiŋ	8	potiN	PETIN
gse	ant	pʌʈe	8	pote	PETE
khu	ant	servele	9	servele	SERBELE
prg	ant	tʃɪti	10	tSiti	TSITI
mbh	arm	atæ	2	atE	ATE
gok	arm	baha	3	baha	PAHA
gbh	arm	d̪anda	4	danda	TANTA
bhm	arm	ɖʌɳɖʌ,kʌj	4	dondo, koy	TENTE, KEJ
rui	arm	hai	1	hai	HA
grp	arm	hai̯	1	hai	HA
mdh	arm	kai	1	kai	KA
mku	arm	kai	1	kai	KA
gtd	arm	kai	1	kai	KA
psh	arm	kai	1	kai	KA
pmd	arm	kai	1	kai	KA
ggg	arm	kai	1	kai	KA
khu	arm	kai	1	kai	KA
bhe	arm	kai	1	kai	KA
prg	arm	kai	1	kai	KA
gar	arm	kai	1	kai	KA
gam	arm	kai	1	kai	KA
gwa	arm	kai	1	kai	KA
gch	arm	kai	1	kai	KA
gdh	arm	kai	1	kai	KA
mud	arm	kai	1	kai	KA
ktg	arm	kai̯	1	kai	KA
get	arm	kai̯	1	kai	KA
gut	arm	kai̯	1	kai	KA
pkh	arm	kai̯	1	kai	KA
mlj	arm	kai̯	1	kai	KA
mso	arm	kai̯k	1	kaik	KAK
gcj	arm	kaikʰ	1	kaikh~	KAK
mad	arm	kai̯u	1	kaiu	KA
mal	arm	kai̯yu	1	kaiiu	KA
gja	arm	kei̯	1	kei	KE
gba	arm	kei̯yu	1	keiiu	KE
gka	arm	kəi̯	1	k3i	KE
goa	arm	kəi̯ju	1	k3iyu	KEJY
gkt	arm	kʰaik	1	kh~aik	KAK
glb	arm	koi̯	1	koi	KU
dog	arm	kʌi̯	1	koi	KE
gni	arm	kʌi̯	1	koi	KE
gse	arm	kʌi̯	1	koi	KE
gki	arm	kʌi̯	1	koi	KE
met	arm	kʌi̯	1	koi	KE
lxg	arm	kʌɪ̯	1	koi	KE
bhs	arm	kʌj	1	koy	KEJ
bhb	arm	kʌj	1	koy	KEJ
ght	arm	qai̯	1	qai	KA
gra	arm	sɛʈan	5	sEtan	SETAN
gbh	ash	bʰud̪i	1	bh~udi	PYTI
mbh	ash	bɦudt̪e	1	bhudte	PHYTTE
goa	ash	bud̪i,niɾu	1	budi, niru	PYTI, NIRY
mad	ash	eɣʊ	2	exu	EGY
bhs	ash	kosoj	3	kosoy	KUSUJ
met	ash	neahu	4	neahu	NEHY
mal	ash	nɛɣu	4	nExu	NEGY
gni	ash	niːru	5	niru	NIRY
bhm	ash	niːɾ	5	nir	NIR
bhb	ash	niːɾ	5	nir	NIR
mlj	ash	niːɾ	5	nir	NIR
gut	ash	niːɾu	5	niru	NIRY
gtd	ash	niðə	5	ni83	NIDE
mso	ash	nii̯h	5	niih	NIH
mdh	ash	nil	5	nil	NIL
get	ash	nil	5	nil	NIL
gkt	ash	nil	5	nil	NIL
gok	ash	nil	5	nil	NIL
pmd	ash	nil	5	nil	NIL
glb	ash	niɭ	5	niL	NIL
ktg	ash	niɭ	5	niL	NIL
mku	ash	niɭ	5	niL	NIL
rui	ash	nir	5	nir	NIR
grp	ash	nir	5	nir	NIR
ght	ash	nir	5	nir	NIR
dog	ash	nir	5	nir	NIR
gja	ash	nir	5	nir	NIR
gba	ash	nir	5	nir	NIR
psh	ash	nir	5	nir	NIR
pkh	ash	nir	5	nir	NIR
gcj	ash	nir	5	nir	NIR
ggg	ash	nir	5	nir	NIR
khu	ash	nir	5	nir	NIR
bhe	ash	nir	5	nir	NIR
prg	ash	nir	5	nir	NIR
gka	ash	nir	5	nir	NIR
gse	ash	nir	5	nir	NIR
gra	ash	nir	5	nir	NIR
gki	ash	nir	5	nir	NIR
gar	ash	nir	5	nir	NIR
gam	ash	nir	5	nir	NIR
gwa	ash	nir	5	nir	NIR
gch	ash	nir	5	nir	NIR
gdh	ash	nir	5	nir	NIR
mud	ash	niɾ	5	nir	NIR
lxg	ash	nɪːru	5	niru	NIRY
mud	axe	ɖʌŋia	1	doNia	TENI
bhm	axe	ɡoɖeːl	2	godel	KUTEL
bhs	axe	ɡoɖeːl	2	godel	KUTEL
bhb	axe	ɡoɖeːl	2	godel	KUTEL
gok	axe	kudhar	3	kudhar	KYTHAR
mbh	axe	maksu	4	maksu	MAKSY
rui	axe	marəs	4	mar3s	MARES
grp	axe	mars	4	mars	MARS
glb	axe	mars	4	mars	MARS
ktg	axe	mars	4	mars	MARS
mku	axe	mars	4	mars	MARS
gba	axe	mars	4	mars	MARS
gkt	axe	mars	4	mars	MARS
psh	axe	mars	4	mars	MARS
pkh	axe	mars	4	mars	MARS
gcj	axe	mars	4	mars	MARS
ggg	axe	mars	4	mars	MARS
khu	axe	mars	4	mars	MARS
bhe	axe	mars	4	mars	MARS
prg	axe	mars	4	mars	MARS
gka	axe	mars	4	mars	MARS
gar	axe	mars	4	mars	MARS
gam	axe	mars	4	mars	MARS
gwa	axe	mars	4	mars	MARS
gch	axe	mars	4	mars	MARS
gdh	axe	mars	4	mars	MARS
get	axe	marsu	4	marsu	MARSY
gja	axe	marsu	4	marsu	MARSY
gbh	axe	marsu	4	marsu	MARSY
dog	axe	maɾs	4	mars	MARS
gki	axe	maɾs	4	mars	MARS
gut	axe	maɾs̪	4	mars	MARS
gra	axe	maɾsu	4	marsu	MARSY
goa	axe	maɾsu	4	marsu	MARSY
pmd	axe	mas	4	mas	MAS
mad	axe	məksu	4	m3ksu	MEKSY
gni	axe	mⁿarsu	4	mn~arsu	MARSY
met	axe	mɔksu	4	moksu	MUKSY
mso	axe	mʌhsi	4	mohsi	MEHSI
ght	axe	mʌrs	4	mors	MERS
gtd	axe	mʌrs	4	mors	MERS
lxg	axe	mʌɾəsu	4	mor3su	MERESY
mdh	axe	mʌɾs	4	mors	MERS
gse	axe	mʌɾs	4	mors	MERS
mal	axe	mʌxsu	4	moxsu	MEGSY
mlj	axe	ʈai̯ŋɡa	5	taiNga	TANKA
gok	bad	ard̆o	1	ardo	ARTU
get	bad	asahile,beshile	2	asahile, beshile	ASAHILE, PESHILE
gtd	bad	asalhale	2	asalhale	ASALHALE
pmd	bad	atʃahila	2	atSahila	ATSAHILA
bhe	bad	atʃailey	2	atSailei	ATSALE
khu	bad	atʃailət	2	atSail3t	ATSALET
gse	bad	bekaɾ	4	bekar	PEKAR
glb	bad	beshile	2	beshile	PESHILE
mdh	bad	beshile	2	beshile	PESHILE
bhs	bad	biːɖo	5	bido	PITU
grp	bad	biɡliemat	6	bigliemat	PIKLIMAT
gdh	bad	buro	7	buro	PYRU
gch	bad	buʈe	8	bute	PYTE
mud	bad	hʌɾo	9	horo	HERU
prg	bad	karab	3	karab	KARAP
ggg	bad	karap	3	karap	KARAP
gar	bad	karap	3	karap	KARAP
gbh	bad	kaɾab	3	karab	KARAP
gka	bad	kharab	3	kharab	KHARAP
gja	bad	kʰarab,beshile	3	kh~arab, beshile	KARAP, PESHILE
gba	bad	kʰarab,beshile	3	kh~arab, beshile	KARAP, PESHILE
rui	bad	kʰərap	3	kh~3rap	KERAP
mad	bad	kʰʌrab	3	kh~orab	KERAP
gki	bad	kʰʌɾ	3	kh~or	KER
dog	bad	kʰʌɾab	3	kh~orab	KERAP
met	bad	kʰʌɾab	3	kh~orab	KERAP
goa	bad	kⁿʌɾab,bɛsʌhille	3	kn~orab, bEsohille	KERAP, PESEHILE
ktg	bad	kʌrab	3	korab	KERAP
psh	bad	kʌrab	3	korab	KERAP
pkh	bad	kʌrab	3	korab	KERAP
gcj	bad	kʌrab	3	korab	KERAP
ght	bad	kʌrʌb	3	korob	KEREP
mku	bad	kʌrʌb	3	korob	KEREP
mal	bad	kʌrʌb	3	korob	KEREP
mbh	bad	melo	A	melo	MELU
bhm	bad	opːo	B	opo	UPU
bhb	bad	opːo	B	opo	UPU
gwa	bad	tʃəkohəley	C	tS3koh3lei	TSEKUHELE
gkt	bad	tʃəkoi̯le	C	tS3koile	TSEKULE
gut	bad	tʃʰokuʈsɛlːɛ,kaɾabaːt̪ʌ	C	tSh~okutsElE, karabato	TSUKYTSELE, KARAPATE
gra	bad	tʃokoɾsile	C	tSokorsile	TSUKURSILE
gni	bad	vai̯tna	D	vaitna	BATNA
mso	bad	ʌɾo	9	oro	ERU
mlj	bad	ʌtʃahile	2	otSahile	ETSAHILE
lxg	bad	waːɪ̯tnʌ	D	waitno	WATNE
gam	bad	wait,karap	D	wait, karap	WAT, KARAP
goa	banana	art̪i	1	arti	ARTI
gbh	banana	aɾat̪i	1	arati	ARATI
mbh	banana	bʰaɡana(kai̯a)	2	bh~aganakaia	PAKANAKA
gni	banana	keːra	3	kera	KERA
bhm	banana	keːɽa	3	kera	KERA
bhs	banana	keːɽa	3	kera	KERA
bhb	banana	keːɾa	3	kera	KERA
gok	banana	ked̆a	3	keda	KETA
gch	banana	keɖe	3	kede	KETE
glb	banana	keia	3	keia	KE
gtd	banana	kela	3	kela	KELA
gcj	banana	kela	3	kela	KELA
prg	banana	kela	3	kela	KELA
gar	banana	kela	3	kela	KELA
gdh	banana	kela	3	kela	KELA
gkt	banana	kelaŋ	3	kelaN	KELAN
bhe	banana	keley	3	kelei	KELE
mdh	banana	keli	3	keli	KELI
mku	banana	keli	3	keli	KELI
gka	banana	keɭe	3	keLe	KELE
mud	banana	ker̆	3	ker	KER
ktg	banana	kera	3	kera	KERA
psh	banana	kera	3	kera	KERA
pmd	banana	kera	3	kera	KERA
pkh	banana	kera	3	kera	KERA
khu	banana	kera	3	kera	KERA
ggg	banana	keran	3	keran	KERAN
grp	banana	kere	3	kere	KERE
gam	banana	kere	3	kere	KERE
gwa	banana	kere	3	kere	KERE
ght	banana	kereŋ	3	kereN	KEREN
gja	banana	keri	3	keri	KERI
mad	banana	keri	3	keri	KERI
rui	banana	keɽe	3	kere	KERE
met	banana	keɽi	3	keri	KERI
mso	banana	keɽiŋ	3	keriN	KERIN
mlj	banana	keɾa	3	kera	KERA
gki	banana	keɾe	3	kere	KERE
dog	banana	keɾi	3	keri	KERI
mal	banana	kəri	3	k3ri	KERI
gut	banana	kɛːɾɛŋɡ	3	kErENg	KERENK
gse	banana	kɛdiŋ	3	kEdiN	KETIN
lxg	banana	kɛre(pʌnɖi)	3	kErepondi	KEREPENTI
gra	banana	kɛrei	3	kErei	KERE
get	banana	kɛri	3	kEri	KERI
gba	banana	kɛri	3	kEri	KERI
met	belly	botˑa	1	bota	PUTA
mbh	belly	bot̪ʰa	1	both~a	PUTA
pmd	belly	dʰar	2	dh~ar	TAR
psh	belly	dʰaɾd	2	dh~ard	TART
pkh	belly	dʰaɾd	2	dh~ard	TART
dog	belly	peʈˑi	3	peti	PETI
gni	belly	peʈˑi	3	peti	PETI
gut	belly	pɛʈˑi	3	pEti	PETI
gki	belly	pɛʈˑi	3	pEti	PETI
lxg	belly	pɛʈˑɪ	3	pEti	PETI
gra	belly	pɛʈʈi	3	pEtti	PETI
gka	belly	piˑr	4	pir	PIR
ght	belly	pil	4	pil	PIL
gkt	belly	pil	4	pil	PIL
gcj	belly	pil	4	pil	PIL
rui	belly	pir	4	pir	PIR
gja	belly	pir	4	pir	PIR
gba	belly	pir	4	pir	PIR
bhe	belly	pir	4	pir	PIR
gam	belly	pir	4	pir	PIR
gtd	belly	pirɛ	4	pirE	PIRE
get	belly	piru	4	piru	PIRY
gbh	belly	piru,bʰot̪a	4	piru, bh~ota	PIRY, PUTA
grp	belly	piɾ	4	pir	PIR
glb	belly	piɾ	4	pir	PIR
ggg	belly	piɾ	4	pir	PIR
khu	belly	piɾ	4	pir	PIR
prg	belly	piɾ	4	pir	PIR
gar	belly	piɾ	4	pir	PIR
gwa	belly	piɾ	4	pir	PIR
gch	belly	piɾ	4	pir	PIR
